Bug Number,Revealing Factor,Reveal Group,Sanitizer,Crash Type,Arch,Finding Date,Revealing Date,Merge Date,Guilty Date,D2 (days),D1 (days),D1 since Syzkaller,Total Delay,D1 Ratio,Hidden-on-Birth,Before Syzbot,Old/New,Location,Root Dir,,,,,
1446,Template,Template,Kasan,use-after-free,amd64,11/5/2019,11/2/2019,9/5/2019,9/4/2019,3,58,58,61,0.9508,1,After,New,net/can/j1939,net,,,,,
1447,Guilty Merge,Guilty Commit,Kasan,Stack-out-of-bounds,amd64,11/1/2023,10/27/2023,10/27/2023,10/27/2023,5,0,0,5,0,0,After,New,include/net,include,,,,,
1451,Syzkaller Commit,Syzkaller Commit,none,GPF,amd64,8/10/2021,4/21/2021,5/22/2020,5/21/2020,111,334,334,445,0.7506,1,After,Old,crypto,crypto,,,,,
1454,Guilty Merge,Guilty Commit,none,GPF,amd64,9/2/2023,9/1/2023,9/1/2023,8/22/2023,1,0,0,1,0,0,After,New,drivers/usb/core,drivers,,,,,
1455,Guilty Merge,Guilty Commit,Kasan,Slab-Out-of-Bounds,amd64,10/6/2023,10/1/2023,10/1/2023,9/20/2023,5,0,0,5,0,0,After,New,net/bluetooth,net,,,,,
1459,Guilty Merge,Guilty Commit,none,GPF,amd64,9/4/2023,9/1/2023,9/1/2023,8/22/2023,3,0,0,3,0,0,After,New,drivers/input/serio,drivers,,,,,
1464,Blocking Bug,Blocking Bug,none,warning,amd64,2/25/2023,2/16/2023,12/12/2022,12/12/2022,9,66,66,75,0.88,1,After,New,net/core,net,,,,,
1465,Merge Commit,Kernel Reveal,none,warning,amd64,9/6/2023,8/29/2023,,5/1/2012,8,4137,2229,2237,0.9964,1,Before,Old,net/ipv6,net,,,,,
1466,Blocking Bug,Blocking Bug,none,Bug,amd64,11/2/2023,10/19/2023,10/15/2023,10/15/2023,14,4,4,18,0.2222,1,After,New,drivers/ptp,drivers,,,,,
1467,Guilty Merge,Guilty Commit,none,GPF,amd64,9/3/2023,9/1/2023,9/1/2023,8/22/2023,2,0,0,2,0,0,After,New,net/nfc,net,,,,,
1468,Guilty Merge,Guilty Commit,none,deadlock,amd64,10/5/2023,10/4/2023,10/4/2023,9/18/2023,1,0,0,1,0,0,After,New,net/rfkill,net,,,,,
1469,Guilty Merge,Guilty Commit,none,GPF,amd64,9/11/2023,9/1/2023,9/1/2023,8/22/2023,10,0,0,10,0,0,After,New,net/ieee802154,net,,,,,
1472,Blocking Bug,Blocking Bug,none,GPF,amd64,9/3/2023,9/1/2023,9/1/2023,8/22/2023,2,0,0,2,0,0,After,New,net/bluetooth,net,,,,,
1476,Guilty Merge,Guilty Commit,none,Bug,amd64,9/3/2023,8/13/2023,8/13/2023,8/11/2023,21,0,0,21,0,0,After,New,net/bluetooth,net,,,,,
1481,Merge Commit,Kernel Reveal,Ubsan,shift-out-of-bounds,amd64,4/19/2023,2/22/2023,,9/20/2011,56,4173,2041,2097,0.9733,1,Before,Old,net/nfc/nci,net,,,,,
1482,Guilty Merge,Guilty Commit,none,warning,amd64,9/20/2023,9/13/2023,9/13/2023,9/13/2023,7,0,0,7,0,0,After,New,net/ipv4,net,,,,,
1488,Merge Commit,Kernel Reveal,none,Info,amd64,8/29/2023,8/28/2023,1/23/2020,1/23/2020,1,1313,1313,1314,0.9992,1,After,Old,fs,fs,,,,,
1504,Guilty Merge,Guilty Commit,none,Info,amd64,6/30/2023,5/24/2023,5/24/2023,5/23/2023,37,0,0,37,0,0,After,New,fs,fs,,,,,
1510,Syzkaller Commit,Syzkaller Commit,Kasan,use-after-free,amd64,10/28/2022,6/3/2022,4/30/2022,4/15/2022,147,34,34,181,0.1878,1,After,New,drivers/tty,drivers,,,,,
1511,Template,Template,none,warning,amd64,3/14/2023,4/27/2022,1/16/2021,1/8/2021,321,466,466,787,0.5921,1,After,Old,net/core,net,,,,,
1518,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,8/29/2023,8/28/2023,8/28/2023,8/21/2023,1,0,0,1,0,0,After,New,fs/afs,fs,,,,,
1522,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,7/12/2023,5/23/2023,5/23/2023,5/23/2023,50,0,0,50,0,0,After,New,sound/core/seq,sound,,,,,
1525,Blocking Bug,Blocking Bug,Kmemleak,Memory Leak,amd64,7/8/2023,4/19/2020,,8/20/2010,1175,3530,1002,2177,0.4603,1,Before,Old,drivers/staging/rtl8712,drivers,,,,,
1528,Blocking Bug,Blocking Bug,Kmemleak,Memory Leak,amd64,2/20/2023,6/2/2022,3/29/2010,3/23/2010,263,4448,1776,2039,0.871,1,Before,Old,drivers/net/wireless/ath/ath9k,drivers,,,,,
1533,Blocking Bug,Blocking Bug,none,Info,amd64,5/30/2021,5/15/2020,3/29/2010,3/23/2010,380,3700,1028,1408,0.7301,1,Before,Old,net/core,net,,,,,
1536,Blocking Bug,Blocking Bug,none,GPF,amd64,10/27/2022,10/16/2022,3/29/2010,3/23/2010,11,4584,1912,1923,0.9943,1,Before,Old,include/linux,include,,,,,
1538,Syzkaller Commit,Syzkaller Commit,Kasan,use-after-free,amd64,11/5/2019,11/3/2019,9/5/2019,9/4/2019,2,59,59,61,0.9672,1,After,New,net/can/j1939,net,,,,,
1545,Syzkaller Commit,Syzkaller Commit,none,Bug,amd64,2/10/2022,4/21/2021,,2/14/2016,295,1893,1369,1664,0.8227,1,Before,Old,mm,mm,,,,,
1546,Guilty Merge,Guilty Commit,Kmemleak,Memory Leak,amd64,4/29/2023,4/27/2023,4/27/2023,3/29/2023,2,0,0,2,0,0,After,New,drivers/base,drivers,,,,,
1549,Guilty Merge,Guilty Commit,Kasan,use-after-free,amd64,5/1/2023,4/24/2023,4/24/2023,4/23/2023,7,0,0,7,0,0,After,New,net/bluetooth,net,,,,,
