,Overall Semantic Result,,,,,,,,,,,,,
Bug Number,SB,Mk 1p,Mk nm,Mk,Exclude,Notes,,,,SB,Mk 1p,Mk nm,Mk,
740,NF,NF,NF,Unstable,0,,,,,,,,,
746,Unstable,Code Change,Code Change,Flakey,0,,,,,,,,,
747,NF,NF,Code Change,Blocking Bug,0,,,,,,,,,
750,BiC,BiC,BiC,BiC,0,,,,,,,,,
753,DNF,DNF,DNF,DNF,0,,,,,,,,,
759,NF,BiC,BiC,Blocking Bug,0,,,,,,,,,
761,BiC,BiC,BiC,BiC,0,,,,,,,,,
762,BiC,BiC,BiC,BiC,0,,,,,,,,,
763,NF,NF,NF,NF,1,,,,,,,,,
766,BiC,BiC,BiC,BiC,0,,,,,,,,,
768,Flakey,BiC,BiC,BiC,0,,,,,,,,,
770,Unstable,Unstable,Unstable,BiC,0,,,,,,,,,
773,BiC,BiC,BiC,BiC,0,,,,,,,,,
774,Unknown,BiC,BiC,BiC,0,,,,,,,,,
775,NF,NF,NF,NF,1,,,,,,,,,
777,BiC,BiC,BiC,BiC,0,,,,,,,,,
778,NF,NF,NF,BiC,0,,,,,,,,,
780,BiC,BiC,BiC,BiC,0,,,,,,,,,
782,NF,NF,NF,Code Change,0,,,,,,,,,
783,NF,NF,NF,NF,1,,,,,,,,,
784,BiC,BiC,BiC,BiC,0,,,,,,,,,
787,BiC,BiC,BiC,BiC,0,,,,,,,,,
788,Code Change,Code Change,Code Change,Code Change,0,,,,,,,,,
789,BiC,BiC,BiC,BiC,0,,,,,,,,,
792,BiC,BiC,BiC,BiC,0,,,,,,,,,
793,BiC,BiC,BiC,BiC,0,,,,,,,,,
794,NF,NF,NF,NF,1,,,,,,,,,
795,NF,NF,NF,NF,1,,,,,,,,,
798,BiC,BiC,BiC,BiC,0,,,,,,,,,
800,BiC,NF,NF,BiC,0,SB traced back a different bug.,,,,,,,,
804,NF,NF,NF,NF,1,,,,,,,,,
805,BiC,BiC,BiC,BiC,0,,,,,,,,,
806,Code Change,Code Change,Code Change,BiC,0,,,,,,,,,
807,NF,NF,Code Change,Code Change,0,,,,,,,,,
809,BiC,BiC,BiC,BiC,0,,,,,,,,,
812,DNF,NF,Unstable,Flakey,0,,,,,,,,,
814,Wrong Bug,NF,NF,BiC,0,,,,,,,,,
820,BiC,BiC,BiC,BiC,0,,,,,,,,,
821,NF,NF,NF,BiC,0,,,,,,,,,
822,NF,NF,NF,NF,1,,,,,,,,,
823,Code Change,Code Change,Code Change,Code Change,0,,,,,,,,,
825,Code Change,Code Change,Code Change,Code Change,0,,,,,,,,,
826,Flakey,Flakey,Flakey,Blocking Bug,0,,,,,,,,,
827,BiC,BiC,BiC,BiC,0,,,,,,,,,
830,BiC,Code Change,Code Change,BiC,0,,,,,,,,,
832,DNF,Unstable,Unstable,DNF,0,,,,,,,,,
833,NF,NF,NF,NF,1,,,,,,,,,
834,Wrong Bug,NF,NF,Code Change,0,,,,,,,,,
835,Flakey,Flakey,Flakey,BiC,0,,,,,,,,,
836,DNF,NF,Unstable,DNF,0,,,,,,,,,
839,DNF,NF,BiC,BiC,0,,,,,,,,,
841,NF,NF,NF,NF,1,,,,,,,,,
842,BiC,BiC,BiC,BiC,0,,,,,,,,,
844,NF,NF,NF,NF,1,,,,,,,,,
846,BiC,BiC,BiC,BiC,0,,,,,,,,,
847,Wrong Bug,NF,NF,DNF,0,,,,,,,,,
849,NF,NF,NF,NF,1,,,,,,,,,
850,NF,NF,BiC,BiC,0,,,,,,,,,
853,NF,NF,NF,NF,1,,,,,,,,,
854,NF,NF,NF,Blocking Bug,0,,,,,,,,,
855,Flakey,Flakey,Flakey,Flakey,0,,,,,,,,,
857,Wrong Bug,Blocking Bug,Blocking Bug,Blocking Bug,0,,,,,,,,,
859,NF,NF,NF,Code Change,0,,,,,,,,,
860,Wrong Bug,BiC,BiC,BiC,0,,,,,,,,,
861,Wrong Bug,Code Change,Code Change,Code Change,0,,,,,,,,,
862,BiC,BiC,BiC,BiC,0,,,,,,,,,
863,BiC,BiC,BiC,BiC,0,,,,,,,,,
864,Wrong Bug,NF,NF,BiC,0,,,,,,,,,
865,DNF,NF,NF,Code Change,0,,,,,,,,,
867,DNF,Unstable,Unstable,Unstable,0,,,,,,,,,
870,NF,NF,NF,NF,1,,,,,,,,,
872,NF,NF,NF,NF,1,,,,,,,,,
874,BiC,BiC,BiC,BiC,0,,,,,,,,,
875,NF,NF,NF,NF,1,,,,,,,,,
876,BiC,BiC,BiC,BiC,0,,,,,,,,,
879,NF,NF,NF,NF,1,,,,,,,,,
880,Wrong Bug,Unstable,Unstable,Code Change,0,,,,,,,,,
882,Wrong Bug,Blocking Bug,Blocking Bug,Blocking Bug,0,,,,,,,,,
884,Wrong Bug,Blocking Bug,Blocking Bug,Unstable,0,,,,,,,,,
885,BiC,BiC,BiC,BiC,0,,,,,,,,,
886,Wrong Bug,Unstable,Unstable,Code Change,0,,,,,,,,,
888,DNF,DNF,DNF,DNF,0,,,,,,,,,
889,NF,NF,NF,Code Change,0,,,,,,,,,
890,Wrong Bug,Code Change,Code Change,BiC,0,,,,,,,,,
891,Wrong Bug,BiC,BiC,BiC,0,,,,,,,,,
892,Wrong Bug,BiC,BiC,BiC,0,,,,,,,,,
895,DNF,NF,Unstable,Unstable,0,,,,,,,,,
896,Wrong Bug,Code Change,Code Change,Blocking Bug,0,,,,,,,,,
897,NF,NF,NF,NF,1,,,,,,,,,
899,NF,Code Change,Code Change,Code Change,0,,,,,,,,,
900,NF,NF,NF,NF,1,,,,,,,,,
901,BiC,NF,NF,Flakey,0,,,,,,,,,
903,NF,NF,NF,NF,1,,,,,,,,,
904,Code Change,Code Change,Code Change,Code Change,0,,,,,,,,,
906,DNF,Unstable,Unstable,Unstable,0,,,,,,,,,
908,DNF,Blocking Bug,Blocking Bug,Unstable,0,,,,,,,,,
911,BiC,BiC,BiC,BiC,0,,,,,,,,,
913,Wrong Bug,NF,NF,Code Change,0,,,,,,,,,
914,NF,Code Change,Code Change,Code Change,0,,,,,,,,,
915,Wrong Bug,BiC,BiC,BiC,0,,,,,,,,,
919,NF,NF,NF,NF,1,,,,,,,,,
