2017-06-02,gcc-7.1.1-20170620
2018-02-15,gcc-8.0.1-20180301
2018-04-12,gcc-8.0.1-20180412
2018-12-31,gcc-9.0.0-20181231
2020-05-07,gcc-10.1.0-syz
# 2021-01-10,gcc-10.2.1-20210110
